"Permalink,""Name"",""Description"",""Meta Title"",""Meta Description"",""Width"",""Length"",""Height"",""Brand"",""Barcode"",""Categories"",""Images"",""Digital"",""Featured"",""Status"",""SKU"",""Weight"",""Stock"",""Stock Unlimited"",""Price"",""Variant Image"",""Variant 1 Option Name"",""Variant 1 Option Type"",""Variant 1 Option Value"",""Google Product Category"""
"ciruela,""Ciruela"","""",""Ciruela"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977630/ciruela.jpg?1587559475"",""NO"",""NO"",""available"",""CIR001"",""1.0"",""100"",""YES"",""1550.0"","""","""","""","""","""","""","""","""""
"durazno,""Durazno"","""",""Durazno"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977631/durazno.jpg?1587559477"",""NO"",""NO"",""available"",""DUR001"",""1.0"",""100"",""YES"",""1234.0"","""","""","""","""","""","""","""","""""
"frutilla,""Frutilla"","""",""Frutilla"","""",""0.0"",""0.0"",""0.0"",""1/2 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977632/frutillas.jpg?1588343456"",""NO"",""NO"",""available"",""FRU001"",""0.5"",""100"",""YES"",""2950.0"","""","""","""","""","""","""","""","""""
"huevos-color,""Huevos Color"","""",""Huevos Color"","""",""0.0"",""0.0"",""0.0"",""30 unid."","""",""Alimentos"",""https://images.jumpseller.com/store/veyi1/4977633/huevo.jpg?1587559481"",""NO"",""NO"",""available"",""HUE002"",""1.8"",""100"",""YES"",""5500.0"","""","""","""","""","""","""","""","""""
"jengibre,""Jengibre"","""",""Jengibre"","""",""0.0"",""0.0"",""0.0"",""100 grs."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977634/jengibre.jpg?1587559483"",""NO"",""NO"",""available"",""JEN001"",""0.1"",""100"",""YES"",""1250.0"","""","""","""","""","""","""","""","""""
"kale,""Kale"","""",""Kale"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977635/Kale.jpg?1587570047"",""NO"",""NO"",""available"",""KAL001"",""1.0"",""0"",""NO"",""1234.0"","""","""","""","""","""","""","""","""""
"kiwi,""Kiwi"","""",""Kiwi"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977636/Kiwi.jpg?1587570051"",""NO"",""NO"",""available"",""KIW001"",""1.0"",""100"",""YES"",""3000.0"","""","""","""","""","""","""","""","""""
"lechuga-costina,""Lechuga Costina"","""",""Lechuga Costina"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977637/Costina.jpg?1590686865"",""NO"",""YES"",""available"",""LEC001"",""0.7"",""100"",""YES"",""900.0"","""","""","""","""","""","""","""","""""
"lechuga-escarola,""Lechuga Escarola"","""",""Lechuga Escarola"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977638/lechuga-escarola.jpg?1588343444"",""NO"",""NO"",""available"",""LEC002"",""1.0"",""100"",""YES"",""850.0"","""","""","""","""","""","""","""","""""
"lechuga-marina,""Lechuga Marina"","""",""Lechuga Marina"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977639/lechuga-marina.jpg?1588343441"",""NO"",""NO"",""available"",""LEC003"",""0.5"",""100"",""YES"",""850.0"","""","""","""","""","""","""","""","""""
"lechugas-promo,""Lechugas Promo"","""",""Lechugas Promo"","""",""0.0"",""0.0"",""0.0"",""2 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977640/lechugas-promo.jpg?1588343439"",""NO"",""NO"",""disabled"",""LEC004"",""1.4"",""0"",""YES"",""1500.0"","""",""Elije tu promo"",""option"",""Costina y Escarola"","""","""","""","""""
"lechugas-promo,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",""LEC005"",""1.4"",""0"",""YES"",""1500.0"","""",""Elije tu promo"",""option"",""Escarola y Marina"","""""
"lechugas-promo,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",""LEC006"",""1.4"",""0"",""YES"",""1500.0"","""",""Elije tu promo"",""option"",""Marina y Costina"","""""
"limon-de-pica,""Limón de Pica"","""",""Limón de Pica"","""",""0.0"",""0.0"",""0.0"",""1/2 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977641/lim_n-pica.jpg?1588343437"",""NO"",""NO"",""available"",""LIM001"",""0.5"",""100"",""YES"",""1990.0"","""","""","""","""","""","""","""","""""
"limones,""Limones"","""",""Limones"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977642/Limones.jpg?1587570061"",""NO"",""YES"",""available"",""LIM002"",""1.0"",""100"",""YES"",""2200.0"","""","""","""","""","""","""","""","""""
"mango,""Mango"","""",""Mango"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (Aprox. 3 unid.)"","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977643/mango.png?1588343432"",""NO"",""NO"",""available"",""MAN001"",""1.0"",""100"",""YES"",""2990.0"","""","""","""","""","""","""","""","""""
"manzana-fuji,""Manzana Fuji"","""",""Manzana Fuji"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (Aprox. 4 unid.)"","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977644/Manzana-fuji.jpg?1587570064"",""NO"",""YES"",""available"",""MAN002"",""1.0"",""100"",""YES"",""1850.0"","""","""","""","""","""","""","""","""""
"manzana-verde,""Manzana Verde"","""",""Manzana Verde"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (Aprox. 4 unid.)"","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977645/Manzana-verde.jpg?1587570066"",""NO"",""NO"",""available"",""MAN003"",""1.0"",""100"",""YES"",""1850.0"","""","""","""","""","""","""","""","""""
"menta,""Menta"","""",""Menta"","""",""0.0"",""0.0"",""0.0"",""100 grs."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977646/Menta.jpg?1587559807"",""NO"",""NO"",""available"",""MEN001"",""0.1"",""100"",""YES"",""1090.0"","""","""","""","""","""","""","""","""""
"naranja,""Naranja"","""",""Naranja"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (Aprox. 5 unid.)"","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977647/Naranja.jpg?1588343427"",""NO"",""YES"",""available"",""NAR001"",""1.0"",""100"",""YES"",""2500.0"","""","""","""","""","""","""","""","""""
"nuez-mariposa,""Nuez Mariposa"","""",""Nuez Mariposa"","""",""0.0"",""0.0"",""0.0"",""200 grs."","""",""Frutos Secos"",""https://images.jumpseller.com/store/veyi1/4977648/Nuez_mariposa.jpg?1587570783"",""NO"",""NO"",""available"",""NUE001"",""0.2"",""100"",""YES"",""3990.0"","""","""","""","""","""","""","""","""""
"palta,""Palta"","""",""Palta"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (Aprox. 4 unid.)"","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977649/Palta.jpg?1587570792"",""NO"",""YES"",""available"",""PAL001"",""1.0"",""100"",""YES"",""4290.0"","""","""","""","""","""","""","""","""""
